AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
41.0,1.0,19.0,1.0,3500.0,6.0,1.0,40.0,2.0,1.0
41.0,1.0,19.0,3.0,5600.0,303.0,0.0,50.0,1.0,1.0
30.0,1.0,19.0,5.0,4760.0,6.0,11.0,50.0,1.0,8.0
50.0,1.0,14.0,1.0,7720.0,303.0,1.0,40.0,2.0,1.0
32.0,1.0,16.0,5.0,9310.0,6.0,0.0,35.0,1.0,1.0
63.0,6.0,18.0,1.0,20.0,6.0,0.0,36.0,1.0,1.0
21.0,1.0,16.0,5.0,4760.0,6.0,4.0,13.0,1.0,6.0
25.0,1.0,24.0,5.0,3421.0,36.0,0.0,10.0,1.0,1.0
75.0,6.0,16.0,1.0,440.0,6.0,0.0,60.0,1.0,1.0
56.0,1.0,21.0,5.0,1050.0,6.0,0.0,40.0,2.0,2.0
54.0,1.0,20.0,1.0,5400.0,6.0,0.0,50.0,2.0,1.0
22.0,1.0,19.0,5.0,4220.0,6.0,7.0,50.0,1.0,1.0
22.0,1.0,21.0,1.0,51.0,34.0,0.0,40.0,2.0,6.0
40.0,1.0,19.0,1.0,335.0,303.0,0.0,40.0,1.0,3.0
28.0,1.0,18.0,5.0,6260.0,6.0,16.0,40.0,1.0,2.0
31.0,1.0,19.0,1.0,3645.0,6.0,2.0,40.0,2.0,1.0
59.0,1.0,21.0,5.0,3255.0,233.0,12.0,30.0,2.0,6.0
40.0,1.0,21.0,1.0,4710.0,6.0,1.0,40.0,1.0,1.0
22.0,2.0,19.0,5.0,3602.0,6.0,0.0,10.0,2.0,1.0
46.0,4.0,23.0,1.0,230.0,247.0,0.0,70.0,2.0,6.0
60.0,1.0,9.0,3.0,4220.0,303.0,0.0,40.0,2.0,1.0
32.0,4.0,19.0,1.0,2002.0,6.0,0.0,12.0,1.0,1.0
45.0,1.0,16.0,1.0,4710.0,303.0,0.0,40.0,1.0,8.0
48.0,1.0,16.0,4.0,4700.0,312.0,0.0,50.0,2.0,1.0
33.0,1.0,20.0,1.0,6330.0,303.0,0.0,40.0,1.0,8.0
45.0,1.0,24.0,1.0,750.0,207.0,0.0,40.0,1.0,6.0
81.0,6.0,22.0,3.0,2700.0,36.0,0.0,2.0,2.0,1.0
47.0,3.0,21.0,1.0,2013.0,34.0,0.0,40.0,2.0,1.0
31.0,1.0,21.0,5.0,5110.0,29.0,0.0,45.0,1.0,1.0
26.0,1.0,21.0,3.0,2440.0,6.0,2.0,40.0,2.0,1.0
48.0,3.0,21.0,1.0,2310.0,6.0,1.0,19.0,1.0,1.0
54.0,1.0,21.0,1.0,440.0,501.0,0.0,45.0,1.0,1.0
41.0,1.0,24.0,1.0,1021.0,217.0,0.0,40.0,1.0,6.0
64.0,1.0,21.0,1.0,1430.0,233.0,0.0,40.0,1.0,6.0
27.0,1.0,19.0,5.0,4760.0,6.0,0.0,20.0,2.0,1.0
51.0,1.0,16.0,1.0,3515.0,312.0,1.0,40.0,2.0,8.0
72.0,2.0,24.0,5.0,710.0,6.0,15.0,7.0,2.0,1.0
61.0,6.0,11.0,1.0,6260.0,303.0,1.0,40.0,1.0,1.0
22.0,1.0,14.0,5.0,6050.0,6.0,16.0,40.0,1.0,1.0
46.0,1.0,19.0,1.0,120.0,132.0,1.0,40.0,2.0,1.0
27.0,1.0,16.0,5.0,7200.0,6.0,17.0,40.0,1.0,8.0
56.0,1.0,19.0,1.0,9645.0,6.0,1.0,40.0,1.0,1.0
54.0,1.0,16.0,1.0,4720.0,207.0,1.0,16.0,2.0,6.0
18.0,1.0,18.0,5.0,2350.0,6.0,17.0,4.0,2.0,6.0
46.0,1.0,16.0,5.0,440.0,6.0,0.0,40.0,1.0,1.0
46.0,4.0,20.0,3.0,2015.0,6.0,0.0,41.0,1.0,1.0
49.0,4.0,22.0,1.0,2360.0,4.0,0.0,40.0,1.0,1.0
30.0,1.0,11.0,1.0,4521.0,247.0,0.0,40.0,2.0,6.0
36.0,1.0,21.0,5.0,4020.0,51.0,0.0,35.0,1.0,1.0
58.0,1.0,20.0,1.0,4760.0,240.0,0.0,30.0,2.0,6.0
32.0,6.0,16.0,1.0,8350.0,303.0,1.0,20.0,2.0,8.0
64.0,1.0,16.0,3.0,5860.0,6.0,0.0,40.0,2.0,1.0
69.0,1.0,24.0,1.0,1825.0,2.0,0.0,35.0,1.0,1.0
33.0,1.0,16.0,3.0,5240.0,6.0,12.0,40.0,1.0,1.0
41.0,1.0,22.0,5.0,2145.0,34.0,5.0,45.0,1.0,1.0
60.0,1.0,16.0,2.0,4220.0,6.0,0.0,45.0,1.0,1.0
39.0,3.0,21.0,1.0,3602.0,217.0,1.0,36.0,2.0,6.0
45.0,1.0,22.0,1.0,705.0,6.0,0.0,40.0,1.0,1.0
31.0,1.0,20.0,5.0,4110.0,303.0,0.0,25.0,2.0,1.0
45.0,4.0,23.0,3.0,3090.0,19.0,0.0,60.0,2.0,1.0
42.0,1.0,22.0,3.0,2006.0,6.0,2.0,20.0,1.0,1.0
41.0,5.0,19.0,1.0,5000.0,6.0,0.0,42.0,1.0,8.0
62.0,6.0,16.0,1.0,4920.0,6.0,0.0,30.0,2.0,1.0
56.0,1.0,16.0,1.0,4750.0,6.0,0.0,30.0,1.0,1.0
66.0,1.0,21.0,1.0,845.0,1.0,0.0,50.0,2.0,1.0
26.0,1.0,19.0,5.0,5940.0,6.0,15.0,45.0,2.0,1.0
35.0,6.0,21.0,1.0,4700.0,6.0,0.0,10.0,2.0,1.0
23.0,1.0,19.0,5.0,4435.0,6.0,0.0,30.0,2.0,1.0
77.0,6.0,16.0,1.0,1970.0,6.0,0.0,45.0,2.0,1.0
57.0,1.0,19.0,1.0,20.0,6.0,0.0,45.0,1.0,1.0
44.0,1.0,17.0,1.0,9620.0,17.0,1.0,32.0,2.0,1.0
35.0,6.0,19.0,4.0,4525.0,6.0,0.0,40.0,2.0,8.0
50.0,1.0,21.0,1.0,1021.0,217.0,0.0,40.0,1.0,6.0
41.0,5.0,22.0,1.0,1220.0,6.0,0.0,40.0,1.0,1.0
36.0,1.0,22.0,5.0,4720.0,210.0,0.0,40.0,2.0,6.0
22.0,1.0,20.0,5.0,220.0,6.0,2.0,38.0,1.0,1.0
24.0,3.0,23.0,5.0,3870.0,6.0,2.0,25.0,2.0,1.0
50.0,1.0,19.0,1.0,1050.0,6.0,0.0,40.0,1.0,1.0
18.0,1.0,16.0,5.0,7840.0,6.0,2.0,7.0,1.0,9.0
32.0,1.0,21.0,1.0,2350.0,55.0,9.0,2.0,2.0,1.0
62.0,3.0,16.0,5.0,4655.0,363.0,0.0,60.0,2.0,6.0
46.0,6.0,14.0,1.0,4700.0,6.0,0.0,40.0,2.0,6.0
29.0,3.0,21.0,1.0,2320.0,6.0,0.0,40.0,1.0,1.0
19.0,2.0,19.0,5.0,5240.0,6.0,2.0,18.0,2.0,9.0
26.0,1.0,19.0,5.0,4720.0,6.0,2.0,40.0,2.0,8.0
32.0,1.0,16.0,5.0,7200.0,6.0,2.0,40.0,1.0,6.0
22.0,1.0,21.0,5.0,630.0,6.0,2.0,40.0,2.0,1.0
21.0,1.0,19.0,5.0,9600.0,6.0,2.0,30.0,1.0,1.0
44.0,1.0,22.0,1.0,8740.0,66.0,0.0,40.0,2.0,6.0
59.0,7.0,21.0,1.0,310.0,24.0,0.0,40.0,1.0,1.0
57.0,1.0,19.0,2.0,4760.0,6.0,0.0,40.0,1.0,1.0
41.0,1.0,16.0,1.0,710.0,6.0,1.0,40.0,2.0,1.0
34.0,1.0,18.0,5.0,4720.0,6.0,2.0,28.0,2.0,1.0
35.0,6.0,20.0,1.0,2635.0,6.0,1.0,40.0,2.0,1.0
48.0,3.0,22.0,5.0,2310.0,6.0,0.0,40.0,1.0,1.0
42.0,1.0,15.0,5.0,3603.0,6.0,2.0,40.0,2.0,8.0
66.0,1.0,21.0,1.0,3220.0,6.0,0.0,20.0,1.0,1.0
60.0,7.0,21.0,1.0,2634.0,19.0,1.0,10.0,2.0,1.0
58.0,1.0,16.0,1.0,4220.0,370.0,1.0,40.0,1.0,1.0
22.0,7.0,21.0,5.0,5165.0,6.0,2.0,40.0,1.0,9.0
50.0,6.0,19.0,1.0,7640.0,6.0,1.0,60.0,1.0,1.0
35.0,1.0,19.0,3.0,5710.0,164.0,13.0,43.0,2.0,1.0
25.0,1.0,20.0,5.0,1050.0,6.0,0.0,40.0,1.0,8.0
67.0,6.0,19.0,5.0,6950.0,17.0,0.0,25.0,1.0,1.0
30.0,5.0,16.0,1.0,9130.0,207.0,1.0,40.0,1.0,6.0
35.0,1.0,16.0,4.0,9645.0,6.0,0.0,40.0,2.0,1.0
51.0,1.0,19.0,5.0,4700.0,6.0,12.0,40.0,2.0,1.0
87.0,1.0,21.0,1.0,850.0,42.0,0.0,37.0,1.0,1.0
21.0,1.0,19.0,5.0,6260.0,6.0,2.0,30.0,1.0,8.0
21.0,1.0,16.0,5.0,4600.0,6.0,2.0,12.0,2.0,1.0
58.0,1.0,22.0,1.0,1106.0,6.0,0.0,55.0,1.0,1.0
23.0,1.0,16.0,5.0,8920.0,312.0,2.0,40.0,1.0,8.0
53.0,1.0,19.0,3.0,4700.0,212.0,0.0,60.0,2.0,1.0
33.0,1.0,16.0,5.0,3603.0,303.0,13.0,40.0,1.0,1.0
45.0,1.0,22.0,1.0,800.0,53.0,0.0,40.0,1.0,1.0
48.0,1.0,20.0,1.0,5630.0,6.0,10.0,30.0,1.0,8.0
26.0,2.0,21.0,5.0,4720.0,210.0,2.0,25.0,1.0,6.0
56.0,3.0,20.0,5.0,2545.0,6.0,2.0,35.0,1.0,1.0
46.0,1.0,13.0,2.0,3630.0,6.0,0.0,20.0,2.0,1.0
59.0,3.0,22.0,1.0,2310.0,6.0,1.0,45.0,2.0,1.0
32.0,4.0,20.0,1.0,5400.0,6.0,1.0,40.0,1.0,1.0
42.0,1.0,16.0,5.0,9130.0,6.0,0.0,40.0,1.0,8.0
46.0,1.0,11.0,1.0,4020.0,303.0,1.0,40.0,2.0,1.0
57.0,3.0,16.0,1.0,565.0,6.0,0.0,40.0,1.0,1.0
20.0,3.0,16.0,5.0,4720.0,6.0,0.0,20.0,1.0,1.0
41.0,5.0,20.0,4.0,9005.0,26.0,0.0,50.0,1.0,1.0
48.0,1.0,19.0,1.0,8225.0,6.0,16.0,40.0,1.0,1.0
52.0,1.0,19.0,1.0,5840.0,25.0,1.0,40.0,2.0,1.0
47.0,1.0,22.0,3.0,51.0,207.0,13.0,40.0,1.0,6.0
27.0,1.0,20.0,5.0,3500.0,6.0,0.0,45.0,2.0,6.0
77.0,1.0,18.0,1.0,4920.0,6.0,0.0,25.0,2.0,1.0
37.0,1.0,21.0,1.0,5240.0,242.0,1.0,40.0,2.0,6.0
33.0,2.0,21.0,1.0,20.0,6.0,1.0,40.0,1.0,1.0
57.0,1.0,19.0,1.0,5260.0,303.0,0.0,10.0,2.0,1.0
58.0,6.0,15.0,1.0,4700.0,247.0,0.0,60.0,1.0,6.0
18.0,1.0,18.0,5.0,4020.0,6.0,2.0,6.0,1.0,9.0
50.0,1.0,21.0,1.0,300.0,6.0,0.0,44.0,1.0,1.0
24.0,1.0,21.0,1.0,3310.0,6.0,0.0,32.0,2.0,1.0
49.0,3.0,22.0,1.0,2310.0,365.0,1.0,50.0,2.0,9.0
42.0,1.0,20.0,1.0,1108.0,233.0,0.0,45.0,1.0,6.0
40.0,1.0,22.0,1.0,440.0,31.0,1.0,40.0,2.0,1.0
29.0,1.0,21.0,1.0,5400.0,6.0,0.0,38.0,2.0,1.0
26.0,1.0,19.0,1.0,3300.0,6.0,1.0,40.0,2.0,8.0
41.0,3.0,19.0,5.0,2016.0,6.0,0.0,38.0,2.0,1.0
70.0,6.0,16.0,3.0,1560.0,6.0,13.0,40.0,1.0,1.0
42.0,1.0,12.0,1.0,7700.0,303.0,0.0,40.0,2.0,1.0
58.0,2.0,21.0,1.0,5240.0,34.0,0.0,50.0,2.0,1.0
55.0,3.0,16.0,1.0,4020.0,247.0,0.0,40.0,1.0,6.0
17.0,1.0,14.0,5.0,5860.0,6.0,2.0,25.0,2.0,2.0
54.0,1.0,18.0,1.0,5740.0,6.0,1.0,40.0,2.0,1.0
53.0,1.0,19.0,4.0,1220.0,15.0,0.0,40.0,2.0,2.0
21.0,1.0,12.0,5.0,5240.0,47.0,4.0,30.0,1.0,1.0
27.0,1.0,21.0,5.0,5710.0,6.0,0.0,50.0,2.0,1.0
65.0,7.0,22.0,1.0,4710.0,210.0,0.0,44.0,1.0,6.0
54.0,1.0,20.0,1.0,7000.0,6.0,0.0,40.0,1.0,1.0
32.0,1.0,1.0,5.0,8225.0,207.0,0.0,40.0,1.0,6.0
46.0,2.0,20.0,1.0,3255.0,6.0,1.0,30.0,2.0,1.0
52.0,7.0,16.0,1.0,4700.0,168.0,0.0,40.0,1.0,1.0
62.0,1.0,1.0,1.0,7750.0,205.0,0.0,40.0,2.0,6.0
33.0,1.0,9.0,5.0,6050.0,303.0,13.0,40.0,1.0,1.0
39.0,1.0,14.0,3.0,4251.0,6.0,15.0,17.0,1.0,1.0
55.0,1.0,16.0,3.0,6260.0,6.0,13.0,3.0,1.0,1.0
26.0,5.0,16.0,5.0,9825.0,22.0,17.0,45.0,1.0,1.0
52.0,1.0,23.0,1.0,10.0,26.0,0.0,60.0,1.0,1.0
58.0,7.0,21.0,1.0,4920.0,6.0,1.0,50.0,1.0,1.0
