AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
34.0,1.0,19.0,3.0,7140.0,6.0,13.0,40.0,1.0,1.0
37.0,2.0,23.0,1.0,2100.0,29.0,1.0,60.0,1.0,6.0
19.0,4.0,16.0,5.0,2350.0,6.0,2.0,10.0,2.0,1.0
35.0,1.0,16.0,1.0,5400.0,60.0,0.0,40.0,2.0,7.0
19.0,1.0,19.0,5.0,4810.0,6.0,2.0,25.0,1.0,6.0
54.0,1.0,21.0,1.0,2850.0,34.0,1.0,40.0,1.0,1.0
27.0,1.0,16.0,5.0,4251.0,6.0,2.0,40.0,1.0,3.0
56.0,2.0,20.0,5.0,1108.0,28.0,0.0,40.0,2.0,2.0
38.0,1.0,23.0,1.0,3050.0,414.0,0.0,40.0,1.0,1.0
51.0,1.0,21.0,1.0,1530.0,233.0,0.0,40.0,1.0,6.0
43.0,1.0,19.0,5.0,1021.0,362.0,0.0,50.0,1.0,1.0
33.0,1.0,9.0,1.0,6410.0,303.0,1.0,38.0,1.0,8.0
57.0,1.0,16.0,1.0,3870.0,6.0,0.0,40.0,2.0,2.0
34.0,1.0,19.0,5.0,5810.0,6.0,0.0,38.0,2.0,1.0
41.0,6.0,16.0,5.0,4230.0,303.0,13.0,7.0,2.0,8.0
30.0,1.0,18.0,5.0,7800.0,6.0,2.0,35.0,1.0,9.0
37.0,1.0,22.0,1.0,3601.0,312.0,1.0,45.0,2.0,8.0
67.0,1.0,16.0,1.0,4522.0,6.0,0.0,8.0,2.0,1.0
23.0,1.0,19.0,5.0,9600.0,6.0,2.0,40.0,1.0,2.0
55.0,1.0,16.0,3.0,3640.0,233.0,0.0,70.0,2.0,6.0
53.0,4.0,22.0,5.0,5120.0,6.0,0.0,40.0,2.0,1.0
63.0,1.0,20.0,1.0,5740.0,163.0,1.0,21.0,2.0,1.0
42.0,1.0,21.0,5.0,4830.0,247.0,0.0,40.0,2.0,6.0
22.0,1.0,19.0,5.0,4700.0,6.0,12.0,40.0,1.0,1.0
62.0,1.0,19.0,3.0,410.0,6.0,0.0,50.0,2.0,8.0
42.0,1.0,9.0,1.0,6050.0,303.0,1.0,48.0,1.0,8.0
70.0,6.0,20.0,2.0,6260.0,6.0,0.0,2.0,1.0,1.0
39.0,1.0,20.0,1.0,5120.0,314.0,0.0,30.0,2.0,8.0
18.0,1.0,15.0,5.0,1021.0,6.0,2.0,5.0,1.0,3.0
39.0,1.0,16.0,1.0,3602.0,158.0,0.0,19.0,2.0,1.0
50.0,1.0,17.0,1.0,9600.0,303.0,0.0,44.0,1.0,8.0
