AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
63.0,1.0,17.0,1.0,7750.0,16.0,1.0,45.0,1.0,1.0
30.0,1.0,16.0,5.0,4720.0,6.0,13.0,40.0,1.0,1.0
26.0,1.0,19.0,5.0,310.0,6.0,12.0,40.0,2.0,2.0
20.0,1.0,16.0,5.0,9645.0,6.0,2.0,40.0,1.0,1.0
46.0,1.0,16.0,3.0,6260.0,6.0,11.0,40.0,1.0,1.0
31.0,5.0,16.0,1.0,9810.0,48.0,0.0,55.0,1.0,1.0
41.0,3.0,18.0,5.0,3870.0,6.0,0.0,40.0,1.0,1.0
45.0,6.0,16.0,5.0,4600.0,6.0,0.0,65.0,2.0,2.0
35.0,2.0,21.0,1.0,440.0,12.0,0.0,25.0,2.0,1.0
62.0,1.0,9.0,1.0,6050.0,303.0,0.0,40.0,1.0,1.0
62.0,7.0,19.0,3.0,4522.0,217.0,0.0,40.0,2.0,6.0
58.0,5.0,16.0,1.0,5550.0,209.0,0.0,40.0,1.0,6.0
47.0,1.0,20.0,1.0,3200.0,32.0,0.0,40.0,2.0,1.0
60.0,1.0,20.0,5.0,137.0,6.0,0.0,48.0,2.0,1.0
37.0,7.0,21.0,3.0,4230.0,303.0,0.0,20.0,2.0,8.0
22.0,5.0,16.0,5.0,7210.0,427.0,17.0,50.0,2.0,2.0
31.0,6.0,16.0,1.0,9130.0,6.0,1.0,60.0,1.0,1.0
24.0,1.0,21.0,5.0,2300.0,312.0,2.0,40.0,2.0,8.0
23.0,8.0,21.0,5.0,735.0,15.0,2.0,20.0,1.0,9.0
65.0,1.0,20.0,5.0,1551.0,110.0,0.0,25.0,1.0,1.0
20.0,1.0,19.0,5.0,4621.0,9.0,12.0,20.0,1.0,1.0
37.0,1.0,22.0,1.0,1410.0,6.0,1.0,48.0,1.0,1.0
47.0,1.0,20.0,1.0,5710.0,6.0,0.0,50.0,2.0,1.0
46.0,1.0,18.0,1.0,4700.0,6.0,0.0,45.0,1.0,1.0
23.0,1.0,21.0,5.0,150.0,6.0,0.0,40.0,2.0,1.0
37.0,3.0,21.0,1.0,5420.0,233.0,0.0,40.0,2.0,6.0
51.0,1.0,18.0,1.0,4760.0,210.0,0.0,25.0,1.0,6.0
30.0,1.0,21.0,1.0,630.0,6.0,0.0,70.0,2.0,1.0
24.0,1.0,17.0,5.0,9645.0,303.0,2.0,25.0,1.0,1.0
40.0,3.0,21.0,1.0,1840.0,53.0,1.0,40.0,2.0,1.0
39.0,4.0,16.0,3.0,5400.0,6.0,0.0,8.0,2.0,6.0
23.0,1.0,16.0,5.0,5400.0,6.0,11.0,30.0,2.0,1.0
56.0,6.0,19.0,1.0,4920.0,233.0,0.0,65.0,1.0,6.0
46.0,6.0,16.0,1.0,2025.0,25.0,0.0,15.0,2.0,1.0
25.0,1.0,16.0,5.0,9130.0,6.0,2.0,25.0,1.0,2.0
46.0,1.0,21.0,1.0,3255.0,303.0,1.0,40.0,1.0,1.0
49.0,1.0,22.0,1.0,3255.0,6.0,0.0,36.0,2.0,1.0
29.0,1.0,21.0,1.0,4700.0,6.0,1.0,40.0,2.0,1.0
34.0,6.0,21.0,5.0,725.0,212.0,0.0,40.0,2.0,1.0
49.0,1.0,19.0,1.0,1021.0,6.0,1.0,50.0,1.0,1.0
51.0,1.0,16.0,5.0,5330.0,303.0,0.0,40.0,2.0,8.0
32.0,1.0,21.0,1.0,1021.0,109.0,0.0,40.0,1.0,1.0
58.0,1.0,19.0,1.0,3515.0,6.0,1.0,32.0,2.0,1.0
60.0,3.0,22.0,1.0,2320.0,233.0,0.0,37.0,1.0,6.0
69.0,4.0,24.0,1.0,2205.0,212.0,0.0,40.0,1.0,1.0
35.0,5.0,21.0,1.0,7700.0,2.0,0.0,45.0,1.0,1.0
56.0,4.0,22.0,1.0,540.0,53.0,0.0,40.0,1.0,1.0
26.0,1.0,19.0,1.0,9640.0,315.0,12.0,60.0,1.0,9.0
72.0,6.0,19.0,1.0,8555.0,26.0,0.0,25.0,1.0,1.0
60.0,1.0,4.0,1.0,8255.0,6.0,1.0,40.0,1.0,1.0
39.0,1.0,20.0,5.0,5710.0,6.0,13.0,40.0,2.0,1.0
33.0,1.0,21.0,1.0,440.0,6.0,1.0,40.0,1.0,1.0
17.0,1.0,14.0,5.0,4720.0,6.0,2.0,10.0,2.0,1.0
55.0,1.0,1.0,5.0,6230.0,247.0,5.0,24.0,1.0,6.0
43.0,6.0,16.0,1.0,4220.0,414.0,0.0,35.0,1.0,1.0
29.0,1.0,19.0,5.0,4950.0,48.0,0.0,50.0,1.0,1.0
60.0,2.0,1.0,1.0,5400.0,48.0,1.0,35.0,2.0,8.0
45.0,1.0,16.0,1.0,9130.0,303.0,0.0,55.0,1.0,1.0
23.0,1.0,1.0,5.0,9620.0,6.0,2.0,15.0,1.0,1.0
48.0,1.0,19.0,1.0,4720.0,6.0,0.0,34.0,2.0,1.0
25.0,5.0,19.0,3.0,9830.0,6.0,11.0,40.0,2.0,1.0
30.0,1.0,21.0,5.0,5860.0,6.0,2.0,40.0,2.0,1.0
43.0,4.0,22.0,1.0,1021.0,210.0,0.0,40.0,1.0,6.0
44.0,1.0,7.0,3.0,4020.0,303.0,0.0,55.0,1.0,1.0
55.0,1.0,18.0,1.0,20.0,6.0,1.0,80.0,1.0,1.0
